ticker,name,sector,cik
A,Agilent Technologies,Health Care,1090872
AAPL,Apple Inc.,Information Technology,320193
ABBV,AbbVie,Health Care,1551152
ABNB,Airbnb,Consumer Discretionary,1559720
ABT,Abbott Laboratories,Health Care,1800
ACGL,Arch Capital Group,Financials,947484
ACN,Accenture,Information Technology,1467373
ADBE,Adobe Inc.,Information Technology,796343
ADI,Analog Devices,Information Technology,6281
ADM,Archer Daniels Midland,Consumer Staples,7084
ADP,Automatic Data Processing,Industrials,8670
ADSK,Autodesk,Information Technology,769397
AEE,Ameren,Utilities,1002910
AEP,American Electric Power,Utilities,4904
AES,AES Corporation,Utilities,874761
AFL,Aflac,Financials,4977
AIG,American International Group,Financials,5272
AIZ,Assurant,Financials,1267238
AJG,Arthur J. Gallagher & Co.,Financials,354190
AKAM,Akamai Technologies,Information Technology,1086222
ALB,Albemarle Corporation,Materials,915913
ALGN,Align Technology,Health Care,1097149
ALL,Allstate,Financials,899051
ALLE,Allegion,Industrials,1579241
AMAT,Applied Materials,Information Technology,6951
AMCR,Amcor,Materials,1748790
AMD,Advanced Micro Devices,Information Technology,2488
AME,Ametek,Industrials,1037868
AMGN,Amgen,Health Care,318154
AMP,Ameriprise Financial,Financials,820027
AMT,American Tower,Real Estate,1053507
AMZN,Amazon,Consumer Discretionary,1018724
ANET,Arista Networks,Information Technology,1596532
AON,Aon plc,Financials,315293
AOS,A. O. Smith,Industrials,91142
APA,APA Corporation,Energy,1841666
APD,Air Products,Materials,2969
APH,Amphenol,Information Technology,820313
APO,Apollo Global Management,Financials,1858681
APP,AppLovin,Information Technology,1751008
APTV,Aptiv,Consumer Discretionary,1521332
ARE,Alexandria Real Estate Equities,Real Estate,1035443
ARES,Ares Management,Financials,1176948
ATO,Atmos Energy,Utilities,731802
AVB,AvalonBay Communities,Real Estate,915912
AVGO,Broadcom,Information Technology,1730168
AVY,Avery Dennison,Materials,8818
AWK,American Water Works,Utilities,1410636
AXON,Axon Enterprise,Industrials,1069183
AXP,American Express,Financials,4962
AZO,AutoZone,Consumer Discretionary,866787
BA,Boeing,Industrials,12927
BAC,Bank of America,Financials,70858
BALL,Ball Corporation,Materials,9389
BAX,Baxter International,Health Care,10456
BBY,Best Buy,Consumer Discretionary,764478
BDX,Becton Dickinson,Health Care,10795
BEN,Franklin Resources,Financials,38777
BF.B,Brown–Forman,Consumer Staples,14693
BG,Bunge Global,Consumer Staples,1996862
BIIB,Biogen,Health Care,875045
BKNG,Booking Holdings,Consumer Discretionary,1075531
BKR,Baker Hughes,Energy,1701605
BLDR,Builders FirstSource,Industrials,1316835
BLK,BlackRock,Financials,2012383
BMY,Bristol Myers Squibb,Health Care,14272
BNY,BNY Mellon,Financials,1390777
BR,Broadridge Financial Solutions,Industrials,1383312
BRK.B,Berkshire Hathaway,Financials,1067983
BRO,Brown & Brown,Financials,79282
BSX,Boston Scientific,Health Care,885725
BX,Blackstone Inc.,Financials,1393818
BXP,"BXP, Inc.",Real Estate,1037540
C,Citigroup,Financials,831001
CAG,Conagra Brands,Consumer Staples,23217
CAH,Cardinal Health,Health Care,721371
CARR,Carrier Global,Industrials,1783180
CASY,Casey's,Consumer Staples,726958
CAT,Caterpillar Inc.,Industrials,18230
CB,Chubb Limited,Financials,896159
CBOE,Cboe Global Markets,Financials,1374310
CBRE,CBRE Group,Real Estate,1138118
CCI,Crown Castle,Real Estate,1051470
CCL,Carnival Corporation,Consumer Discretionary,815097
CDNS,Cadence Design Systems,Information Technology,813672
CDW,CDW Corporation,Information Technology,1402057
CEG,Constellation Energy,Utilities,1868275
CF,CF Industries,Materials,1324404
CFG,Citizens Financial Group,Financials,759944
CHD,Church & Dwight,Consumer Staples,313927
CHRW,C.H. Robinson,Industrials,1043277
CHTR,Charter Communications,Communication Services,1091667
CI,Cigna,Health Care,1739940
CIEN,Ciena,Information Technology,936395
CINF,Cincinnati Financial,Financials,20286
CL,Colgate-Palmolive,Consumer Staples,21665
CLX,Clorox,Consumer Staples,21076
CMCSA,Comcast,Communication Services,1166691
CME,CME Group,Financials,1156375
CMG,Chipotle Mexican Grill,Consumer Discretionary,1058090
CMI,Cummins,Industrials,26172
CMS,CMS Energy,Utilities,811156
CNC,Centene Corporation,Health Care,1071739
CNP,CenterPoint Energy,Utilities,1130310
COF,Capital One,Financials,927628
COHR,Coherent Corp.,Information Technology,820318
COIN,Coinbase,Financials,1679788
COO,Cooper Companies (The),Health Care,711404
COP,ConocoPhillips,Energy,1163165
COR,Cencora,Health Care,1140859
COST,Costco,Consumer Staples,909832
CPAY,Corpay,Financials,1175454
CPB,Campbell's Company (The),Consumer Staples,16732
CPRT,Copart,Industrials,900075
CPT,Camden Property Trust,Real Estate,906345
CRH,CRH plc,Materials,849395
CRL,Charles River Laboratories,Health Care,1100682
CRM,Salesforce,Information Technology,1108524
CRWD,CrowdStrike,Information Technology,1535527
CSCO,Cisco,Information Technology,858877
CSGP,CoStar Group,Real Estate,1057352
CSX,CSX Corporation,Industrials,277948
CTAS,Cintas,Industrials,723254
CTSH,Cognizant,Information Technology,1058290
CTVA,Corteva,Materials,1755672
CVNA,Carvana,Consumer Discretionary,1690820
CVS,CVS Health,Health Care,64803
CVX,Chevron Corporation,Energy,93410
D,Dominion Energy,Utilities,715957
DAL,Delta Air Lines,Industrials,27904
DASH,DoorDash,Consumer Discretionary,1792789
DD,DuPont,Materials,1666700
